oaCode,totalPopulation,totalHouseholds,personsPerHousehold
11240670020402,506,177,2.9
11240670020403,553,191,2.9
11240670020501,471,165,2.9
11240670020502,411,144,2.9
11240670020503,550,191,2.9
11240670020504,464,165,2.8
11240670020901,327,141,2.3
11240670021401,525,218,2.4
11240680010001,431,222,1.9
11240680010002,446,200,2.2
11240680010003,444,248,1.8
11240680010004,555,225,2.5
11240680010005,586,272,2.2
11240680010006,505,230,2.2
11240680010007,503,277,1.8
11240680010008,460,224,2.1
11240680010009,437,235,1.9
11240680010010,555,245,2.3
11240680010011,449,214,2.1
11240680010012,606,312,1.9
11240680010013,445,215,2.1
11240680010014,446,209,2.1
11240680010015,506,252,2
11240680010016,581,315,1.8
11240680010017,505,246,2.1
11240680010018,416,197,2.1
11240680010019,567,281,2
11240680010020,564,230,2.5
11240680010021,528,260,2
11240680010101,478,165,2.9
11240680010102,569,200,2.8
11240680010103,583,214,2.7
11240680010104,512,170,3
11240680010105,599,211,2.8
11240680010106,505,186,2.7
11240680010107,494,178,2.8
11240680010108,585,207,2.8
11240680010109,480,162,3
11240680010201,613,228,2.7
11240680010202,515,169,3
11240680010401,564,199,2.8
11240680010402,457,160,2.9
11240680010403,442,152,2.9
11240680010501,337,141,2.4
11240680011201,699,509,1.4
11240690010001,825,690,1.2
11240690010002,1621,1387,1.2
11240690010003,628,533,1.2
11240690020001,0,0,0
11240690020101,662,528,1.3
11240690020102,567,207,2.7
11240690020103,595,215,2.8
11240690020104,733,629,1.2
11240690020105,520,300,1.7
11240690020106,625,473,1.3
11240690020107,515,183,2.8
11240690020108,595,208,2.9
11240690020109,497,182,2.7
11240690020110,1727,1120,1.5
11240690030001,0,0,0
11240690030002,2495,2158,1.2
11240690030003,1352,1082,1.2
11240690040101,439,150,2.9
11240690040102,627,240,2.6
11240690040103,599,209,2.9
11240690040104,469,179,2.6
11240690040105,410,150,2.7
11240690040106,416,150,2.8
11240690040107,654,258,2.5
11240690040108,495,180,2.8
11240690040109,450,150,3
11240690040110,557,198,2.8
11240690040111,507,180,2.8
11240690040112,404,138,2.9
11240690040113,472,168,2.8
11240690040114,499,178,2.8
11240690040115,469,180,2.6
11240690040116,539,203,2.7
11240690040117,498,180,2.8
11240690040118,430,150,2.9
11240690040119,411,150,2.7
11240690040120,441,150,2.9
11240690040121,424,150,2.8
11240690040122,505,180,2.8
11240690040123,500,179,2.8
11240690040124,465,180,2.6
11240690040125,426,150,2.8
11240690040126,400,150,2.7
11240690050001,519,431,1.2
11240690060001,249,161,1.5
11240710010001,444,246,1.8
11240710010002,535,309,1.7
11240710010003,408,257,1.6
11240710010004,457,251,1.8
11240710010005,486,268,1.8
11240710010006,422,260,1.6
11240710010007,380,244,1.6
11240710010008,466,241,1.9
11240710010009,551,449,1.2
11240710010010,543,287,1.9
11240710010011,431,246,1.8
11240710010012,451,211,2.1
11240710010013,484,280,1.7
11240710010014,421,250,1.7
11240710010015,454,254,1.8
11240710010016,515,274,1.9
11240710010017,640,346,1.8
11240710010018,577,324,1.8
11240710010019,491,300,1.6
11240710010020,555,290,1.9
11240710010021,567,351,1.6
11240710010022,496,267,1.9
11240710010023,423,257,1.6
11240710010024,339,201,1.7
11240710010025,434,265,1.6
11240710010026,501,270,1.9
11240710010027,490,315,1.6
11240710010028,605,363,1.7
11240710010029,370,198,1.9
11240710010030,413,237,1.7
11240710010031,627,347,1.8
11240710010401,335,299,1.1
11240710010501,419,329,1.3
11240710020001,390,209,1.9
11240710020002,495,228,2.2
11240710020003,537,281,1.9
11240710020004,357,239,1.5
11240710020005,510,260,2
11240710020006,616,317,1.9
11240710020007,462,220,2.1
11240710020008,550,294,1.9
11240710020009,414,222,1.9
11240710020010,364,151,2.4
11240710020011,361,181,2
11240710020012,615,345,1.8
11240710020013,504,268,1.9
11240710020014,369,196,1.9
11240710020015,512,252,2
11240710020016,393,211,1.9
11240710020017,344,189,1.8
11240710020018,510,267,1.9
11240710020019,618,338,1.8
11240710020101,504,178,2.8
11240710020102,443,156,2.8
11240710020201,492,181,2.7
11240710020202,411,148,2.8
11240710020203,595,224,2.7
11240750010002,34,19,1.8
11240750010101,435,144,3
11240750010102,469,236,2
11240750010103,439,143,3.1
11240750010104,407,128,3.2
11240750010105,454,144,3.2
11240750010106,407,142,2.9
11240750010107,463,143,3.2
11240750010108,585,193,3
11240750010109,368,125,2.9
11240750010110,604,196,3.1
11240750010111,437,143,3.1
11240750010112,595,196,3
11240750010113,433,144,3
11240750010114,438,143,3.1
11240750010115,670,216,3.1
11240750010116,350,117,3
11240750010117,622,216,2.9
11240750010118,434,144,3
11240750010119,591,195,3
11240750010120,576,183,3.1
11240750010121,484,176,2.8
11240750010122,457,149,3.1
11240750010123,530,174,3
11240750010124,402,132,3
11240750010125,445,142,3.1
11240750010126,504,187,2.7
11240750010127,454,229,2
11240750010128,405,140,2.9
11240750010129,424,143,3
11240750010130,566,192,2.9
11240750010131,618,206,3
11240750010132,604,219,2.8
11240750010133,435,142,3.1
11240750010134,428,143,3
11240750010135,459,177,2.6
11240750010136,409,129,3.2
11240750010137,439,141,3.1
11240750010138,355,120,3
11240750010139,456,143,3.2
11240750010140,344,120,2.9
11240750010141,409,144,2.8
11240750010142,412,143,2.9
11240770010001,0,0,0
11240770010002,637,236,2.7
11240770010101,1089,376,2.9
11240770010102,351,131,2.7
11240770010601,552,190,2.9
11240770010602,575,193,3
11240770010603,403,137,2.9
